size,femalePercent,IntrovertPercent,IntuitionPercent,ThinkingPercent,JudgementPercent,equalContribution,appreciation,cooperation,freedom,isEff
4,0,0,0,0,1,0,0,0,1,Mod
4,0,0,0,0,1,0,0,0,0,Mod
3,1,1,1,0,1,0,1,1,1,Mod
4,0,0,0,0,1,0,0,0,1,Mod
4,1,0,1,0,0,1,1,1,1,No
3,0,0,1,1,1,1,1,1,1,No
3,0,0,1,1,1,0,0,0,1,Mod
3,1,0,1,0,1,1,1,1,1,Mod
3,0,1,0,0,1,1,1,1,1,Yes
3,0,1,1,1,1,1,1,1,1,Yes
4,1,0,0,0,0,0,0,0,1,No
4,0,1,0,0,0,1,1,1,1,Yes
4,0,0,0,0,1,0,0,0,0,No
3,1,1,1,0,0,1,1,1,1,Yes
3,1,1,1,0,1,1,1,1,1,Yes
4,0,1,0,0,1,1,1,1,1,Yes
3,0,1,0,1,1,0,0,0,1,Yes
3,1,0,0,1,1,0,0,0,0,No
4,0,1,1,0,1,1,1,1,1,Yes
3,1,1,0,1,1,0,1,0,0,Yes
4,1,0,1,0,1,0,0,0,1,No
4,0,1,0,0,1,1,1,1,1,Yes
3,0,0,1,1,0,1,0,0,0,Mod
4,0,0,0,0,1,1,1,1,1,Mod
3,1,0,0,0,0,1,0,0,1,No
3,0,0,0,1,1,1,1,1,1,Yes
3,1,1,0,0,1,1,1,1,1,Yes
3,1,0,1,1,0,1,1,1,1,Mod
3,1,0,0,0,1,0,0,0,1,Mod
3,0,1,1,0,1,0,1,0,1,Yes
3,0,0,1,0,1,0,0,0,0,Mod
3,1,1,0,0,1,1,1,1,1,Yes
3,0,0,0,1,1,0,0,0,0,No
4,0,1,1,0,0,0,1,1,1,Yes
3,1,1,1,1,1,1,1,1,1,Yes
4,0,0,0,0,1,0,0,1,1,Yes
4,0,1,0,1,0,0,0,1,1,Yes
4,0,0,1,1,1,0,0,0,0,Mod
4,0,0,0,0,1,1,1,1,1,Yes
3,1,1,0,0,1,1,1,1,1,Yes
3,0,0,0,1,1,1,1,1,1,Yes
3,0,1,0,0,1,1,1,1,1,Yes
3,1,0,1,1,1,0,0,0,0,Mod
3,1,1,1,1,1,1,1,1,1,Yes
4,1,1,0,0,0,1,1,1,1,Yes
4,0,1,1,0,1,1,1,1,1,Yes
3,1,0,0,0,1,0,1,0,1,Mod
3,0,1,1,1,1,0,1,1,1,Yes
3,1,1,1,0,0,1,1,1,1,Yes
3,0,1,0,1,1,1,1,1,1,Yes
3,0,0,0,1,1,0,0,0,0,Mod
4,0,1,0,1,0,1,1,1,1,Yes
3,1,0,0,1,1,0,0,0,0,Mod
3,0,0,1,1,1,0,0,0,1,Mod
3,1,1,1,0,0,1,1,1,1,Yes
3,1,1,0,0,1,1,1,1,1,Yes
4,0,0,0,0,0,1,1,0,1,Mod
3,1,0,1,0,0,0,0,0,1,No
3,0,0,1,0,1,1,1,1,1,No
3,1,1,0,0,1,0,0,1,1,Mod
3,0,1,1,0,1,1,1,1,1,No
3,0,0,1,1,0,1,1,1,1,No
3,0,1,1,1,1,1,1,1,1,Yes
3,0,0,1,1,1,0,0,0,0,Mod
3,0,0,0,1,1,1,1,1,1,Yes
4,1,0,0,0,1,0,0,0,1,No
3,1,0,1,0,0,0,1,1,0,No
4,0,0,0,0,1,0,0,0,1,No
3,0,1,1,1,1,1,1,1,1,Yes
3,0,0,1,0,1,0,0,0,0,Mod
4,1,0,0,0,1,1,1,1,1,Yes
3,0,0,1,1,1,1,1,1,1,Mod
3,0,0,0,1,1,1,1,1,1,Yes
4,0,0,0,0,0,1,1,1,1,Yes
4,0,1,1,0,0,1,1,1,1,Yes
4,0,0,0,0,0,0,0,0,1,No
4,0,0,0,1,1,1,1,1,1,Mod
4,0,0,1,0,1,1,1,1,1,No
4,1,0,0,1,0,1,1,1,1,No
4,0,0,0,0,1,0,0,0,1,Mod
4,0,0,1,1,0,0,0,0,1,Mod
3,0,1,1,0,0,1,1,1,1,Yes
4,0,0,0,1,1,0,0,0,1,Mod
4,0,0,1,1,0,0,1,1,1,Mod
3,1,1,1,1,1,0,0,1,1,Yes
3,1,0,1,0,1,0,0,0,1,No
3,0,0,1,1,1,0,0,0,1,No
3,1,0,1,0,0,0,0,0,0,Mod
4,0,0,1,0,1,0,0,0,0,Mod
3,0,1,1,0,1,1,1,1,1,No
4,1,1,0,0,0,0,0,1,1,Yes
4,0,0,0,1,0,1,1,1,1,Mod
4,0,0,0,0,0,0,1,1,1,No
3,1,0,1,0,0,1,1,1,0,No
3,0,0,0,1,1,0,0,0,0,Mod
4,1,1,0,0,1,1,1,1,1,Yes
4,1,0,0,0,0,0,1,1,1,No
3,0,1,1,1,0,1,1,1,1,No
3,1,0,1,1,1,0,0,0,0,No
3,1,1,1,0,0,1,1,1,1,Yes
